Sample,Species,Taxon,10_0,2,3,12_0,5,13_0,7,8,14_0,10,14_1,12,15_0,14,15,16_0,16_1,18,17_0,17_1,21,18_0,18_1,24,25,18_2,27,18_3n6,29,30,18_3n3,32,33,20_0,20_1,20_2,37,20_3n6,39,20_4n6,20_3n3,42,43,44,20_5n3,22_0,47,22_1,49,50,51,22_2,53,22_4,55,22_5,24_0,22_6n4__24_1(comb),60
CP10_A,cp,crayfish,0,0,0,0.001417162,0,0,0,0,0.007778494,0,0,0.006507741,0.004323664,0,0.011563674,0.154354165,0.068589884,0.011262508,0.019993084,0.009380772,0.008506208,0.062275536,0.242939161,0,0,0.112550883,0,0,0,0,0.018282274,0,0,0.003724065,0.008792124,0.015724275,0,0,0,0.048323805,0.004404218,0,0,0,0.141393019,0,0,0,0,0,0,0,0,0,0.005115217,0,0,0.032798066,0
CP2_A,cp,crayfish,0.008956536,0,0,0.001493804,0,0,0,0,0.017792738,0,0.003290909,0.001176555,0.003254717,0.010830465,0.003912951,0.34634762,0.02466307,0,0.009793396,0.001626175,0.00574155,0.192408117,0.163413699,0,0,0.041831334,0,0,0,0,0.004600956,0,0,0.004014638,0.03852065,0.007249843,0,0,0,0.023072905,0,0,0,0,0.068268258,0,0,0,0,0,0,0,0,0,0,0,0,0.017739113,0
CP3_A,cp,crayfish,0.00602222,0,0,0,0,0,0,0,0.018732385,0,0.002312326,0,0.003805541,0.009424478,0.001626838,0.358362272,0.025185967,0,0.00472496,0,0.002879648,0.192182466,0.204233818,0,0,0.047808133,0,0,0,0,0.003204084,0,0,0.003320696,0.05356468,0.004598302,0,0,0,0.013753548,0,0,0,0,0.037097914,0,0,0,0,0,0,0,0,0,0,0,0,0.007159724,0
CP4_A,cp,crayfish,0.00487718,0,0,0.001484314,0.159671002,0,0,0,0.01442884,0,0.002765415,0.001569554,0.002140488,0.00825727,0.002828556,0.241268794,0.047875085,0,0.014282099,0.004326257,0.005236671,0.106579926,0.1706649,0,0,0.050031982,0,0,0,0,0.00674199,0,0,0.002891847,0.033670917,0.005898264,0,0,0,0.024805728,0,0,0,0,0.073612028,0,0,0,0,0,0,0,0,0,0,0,0,0.014090893,0
CP5_A,cp,crayfish,0.003775643,0,0,0,0,0,0,0,0.008181964,0,0,0.00443539,0.004901706,0,0.00757739,0.151065726,0.064314805,0.003820046,0.015496711,0.004223328,0.012694054,0.061599224,0.25910825,0,0,0.138608641,0,0,0,0,0.014762971,0,0,0,0.008359605,0.016226869,0,0,0,0.052683829,0,0,0,0,0.13062035,0,0,0,0,0,0,0,0,0,0,0,0,0.037543498,0
CP6_A,cp,crayfish,0.002394167,0,0,0.00211239,0,0,0,0,0.008182506,0,0,0.002452096,0.003199083,0,0.004278733,0.16185169,0.058898731,0.002150732,0.013582753,0.006087572,0.006319862,0.068962974,0.347071165,0,0,0.140262517,0,0,0,0,0.01372741,0,0,0.003494049,0.008391728,0.008873293,0,0,0,0.032161459,0,0,0,0,0.086089817,0,0,0,0,0,0,0,0,0,0,0,0,0.019455272,0
CP7_A,cp,crayfish,0.000686606,0,0,0.000643159,0,0,0,0.000515356,0.008219434,0.000409599,0.000292746,0.007607131,0.009712681,0.001946685,0.006456725,0.145001213,0.117466851,0.009988548,0.018242081,0.018962007,0.009246875,0.024462814,0.216197739,0.001852141,0,0.156511908,0.001465445,0.003900274,0.002666748,0.001277091,0.055379623,0.004655937,0,0.00241295,0.008268779,0.007958427,0,0.002104126,0,0.030183718,0.003002777,0,0.002442341,0,0.095093482,0.001277546,0,0.000602071,0,0,0,0,0.001353949,0,0.002212993,0.002757687,0,0.016561736,0
CP8_A,cp,crayfish,0,0,0,0,0,0,0,0,0.005167645,0,0,0.003759925,0.003691621,0,0.006106571,0.138645166,0.059071089,0.002895186,0.019003046,0.008032616,0.008897654,0.052791483,0.286021896,0,0,0.155864022,0,0,0,0,0.018809349,0,0,0.003385691,0.006945641,0.016976775,0,0,0,0.042470177,0,0,0,0,0.135062972,0,0,0,0,0,0,0,0,0,0,0,0,0.026401474,0
CP9_A,cp,crayfish,0.008353962,0,0,0.001621256,0,0,0,0,0.017945846,0,0.002125448,0.001361733,0.002981838,0.00870583,0.00301285,0.335084783,0.024667132,0.002291399,0.010088356,0.003642632,0.00440108,0.16726169,0.205150073,0.001313006,0,0.066492215,0,0,0,0,0.004586685,0,0,0.003669895,0.037570786,0.00865285,0,0.001682414,0,0.017429656,0,0,0,0,0.046809435,0,0,0,0,0,0,0,0,0,0,0,0,0.013097149,0
CV1_A,cv,crayfish,0.001387382,0,0,0.000841128,0,0,0,0,0.013796894,0.000727325,0,0.004137339,0.004491503,0.000746932,0.008390072,0.189486643,0.093495979,0.007293458,0.026389898,0.013336794,0.011881087,0.06189645,0.217664221,0,0,0.118646027,0,0.00563492,0.002353514,0.001410599,0.022897467,0.002622219,0,0.003474236,0.011198986,0.007509325,0,0.003606494,0,0.029664987,0.00374057,0,0,0.002226164,0.098046202,0,0,0,0,0,0,0,0,0,0.003914806,0.004067108,0,0.023023272,0
CV2_A,cv,crayfish,0.009111771,0,0,0.001048995,0,0,0,0,0.017815264,0,0.001328932,0.000685051,0.00134792,0.005689889,0.00097892,0.28914058,0.026835758,0.001242977,0.008093048,0.005420814,0.001449081,0.159860491,0.311766461,0.001027411,0,0.092554678,0,0,0,0,0.003301741,0,0,0.003356826,0.019315435,0.004959074,0,0,0,0.008574019,0,0,0,0,0.021326814,0,0,0,0,0,0,0,0,0,0,0,0,0.003768051,0
CV3_A,cv,crayfish,0.008821774,0,0,0.001918129,0,0,0,0,0.025228146,0,0.001048989,0.006099913,0.004867138,0.0039049,0.007863803,0.210638801,0.08959976,0.011308158,0.037419037,0.028166015,0.008311287,0.095741221,0.179306543,0.001997725,0,0.052411055,0.001978632,0.007264108,0.002660521,0,0.011861683,0,0,0.003980925,0.01084001,0.006786867,0,0.002279013,0,0.037017207,0,0,0,0,0.11694711,0,0,0,0,0,0,0,0,0,0.003525813,0,0,0.020205717,0
CV4_A,cv,crayfish,0.003970399,0,0,0,0,0,0,0,0.021674537,0,0.001243023,0.004575409,0.004516121,0.006356008,0.005438561,0.227166476,0.066425567,0.009699692,0.028887328,0.028757679,0.004779334,0.102113661,0.214681013,0,0,0.09948499,0,0.004723017,0,0,0.008551588,0,0,0.003568821,0.010763747,0.007557636,0,0,0,0.027935321,0,0,0,0,0.089155845,0,0,0,0,0,0,0,0,0,0,0,0,0.017974227,0
FA.C._A,fa,frog,0.004661218,0,0,0.013183421,0,0.051588527,0,0,0.016603772,0,0.002776064,0.001237803,0.004855164,0,0.001071792,0.159048685,0.071288347,0.001267917,0.004935902,0.005238267,0,0.049306881,0.258239544,0,0,0.166880476,0,0,0,0,0.067064664,0,0,0,0.002564773,0.002511432,0,0.004935246,0,0.050871032,0,0,0,0,0.029661386,0,0,0,0,0,0,0,0,0,0,0.011317206,0,0.018890481,0
FA1_A,fa,frog,0,0,0,0,0,0.0709234,0,0,0.012764338,0,0,0,0,0,0,0.21931183,0.028165888,0,0,0,0,0.118542603,0.327032382,0,0,0.115479951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076749592,0,0,0,0,0.031030016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
