state,attraction,age,pMatch,matchRatio,height,casSexold,casSex,state_biold,state_bi,state_swing,state_mlold,state_ml,state_pgold,state_pg,state_hsold,state_hs,overall,eold,enemy
Maryland,3.5,36.66666667,63.66666667,1.230283349,166.6666667,0,0.001,0.166666667,0.166766667,0,0.333333333,0.333433333,0,0.0001,0.5,0.5001,0.34501179,30.16666667,30.16667667
Missouri,3.133333333,37.2,67.13333333,1.62511092,169.0769231,0.066666667,0.067666667,0.066666667,0.066766667,0,0.266666667,0.266766667,0.2,0.2001,0,0.0001,0.358094648,14.66666667,14.66667667
Arizona,3,49,71,1.791183659,168,0,0.001,0,0.0001,0,0,0.0001,0,0.0001,0,0.0001,0.389278471,6,6.00001
Utah,3,34.9375,66.375,1.805159414,165.3846154,0,0.001,0.125,0.1251,0,0.0625,0.0626,0,0.0001,0,0.0001,0.405693775,17.875,17.87501
New Hampshire,3.333333333,37.66666667,67.66666667,1.505527505,163,0,0.001,0,0.0001,0,0,0.0001,0,0.0001,0.5,0.5001,0.463454063,11.33333333,11.33334333
New York,3.19047619,36.5,66.73809524,1.666689989,164.8461538,0.047619048,0.048619048,0.071428571,0.071528571,0,0.357142857,0.357242857,0.375,0.3751,0.03125,0.03135,0.477164956,18.16666667,18.16667667
South Carolina,3.6,28.2,52.2,1.334700293,168.6,0,0.001,0,0.0001,0,0,0.0001,0.666666667,0.666766667,0,0.0001,0.590563714,12,12.00001
Montana,3.5,30,78.5,1.514633081,164,0,0.001,0,0.0001,0,0,0.0001,0.5,0.5001,0,0.0001,0.678996406,12.5,12.50001
West Virginia,4,29,29,0.99260489,171,0,0.001,0,0.0001,0,0,0.0001,1,1.0001,0,0.0001,0.680387195,30,30.00001
North Carolina,3.105263158,34.15789474,67.42105263,1.957028176,166.5294118,0,0.001,0.105263158,0.105363158,0,0.210526316,0.210626316,0.230769231,0.230869231,0,0.0001,0.713449369,13.21052632,13.21053632
Pennsylvania,3.294117647,34.58823529,61.05882353,1.805463678,167.7692308,0,0.001,0.058823529,0.058923529,0.058823529,0.117647059,0.117747059,0.4,0.4001,0.1,0.1001,0.767546449,18.29411765,18.29412765
Idaho,3.5,37.83333333,74.5,1.641669635,168.3333333,0,0.001,0,0.0001,0,0.333333333,0.333433333,0.166666667,0.166766667,0.166666667,0.166766667,0.828207922,20.16666667,20.16667667
Nevada,3.571428571,32.71428571,42.57142857,1.640108154,165,0,0.001,0.142857143,0.142957143,0,0.142857143,0.142957143,0.2,0.2001,0.2,0.2001,0.91416559,30.42857143,30.42858143
Louisiana,3,37.16666667,62.16666667,2.509244637,163.6,0,0.001,0.166666667,0.166766667,0,0,0.0001,0,0.0001,0,0.0001,1.232681129,17.66666667,17.66667667
