sample,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,taxon,species
IBLU2_A,-1.808051911,0.560771888,1.71081004,2.207249942,-0.071700198,-0.527769124,-0.286029088,-0.718690096,0.19139314,1.121000446,fish,blu
IBLU3_A,-3.298515963,3.145721318,1.650386794,2.74277842,0.868220188,-0.540187205,1.199776743,0.246036015,0.348127496,2.790678621,fish,blu
IBLU4_A,-1.386992028,0.13173231,1.677238209,3.369023303,1.694478383,0.406519479,0.084399545,-1.289321361,-0.659117489,0.188940232,fish,blu
IBLU5_A,-2.047176934,1.449534652,1.491609649,2.977465748,1.166836791,0.018172423,-0.187506546,-0.907264369,-1.182001532,0.11819311,fish,blu
IBLU6_A,-1.771365157,1.86964329,1.426449172,1.501984732,-0.770976971,-0.412570753,0.79275091,-0.333373991,0.852679366,1.348518034,fish,blu
IBLU7_A,0.19201765,0.471002697,2.482851487,0.746600144,-0.001760776,0.380247002,0.534229399,-0.503035112,0.180118391,1.149106297,fish,blu
IBLU8_A,-0.810365317,-0.361844914,2.137998111,1.880744096,-0.111347389,-0.238631442,0.090720307,-0.588442163,0.033587306,1.608917624,fish,blu
ICC1_A,0.528255835,-1.628365527,0.398291533,1.486569372,1.810181497,-0.556363502,0.442024528,-0.2884812,0.890927104,-1.509923243,fish,cc
ICC2_A,2.27321089,1.061129512,-1.213566313,-0.879067226,0.109601055,0.11336183,0.422708267,1.80497936,0.784972826,-1.132562417,fish,cc
ICC3_A,0.879062568,-0.194728339,0.931627918,1.768195187,1.861863877,0.475108518,1.084253312,-0.545094587,0.587005053,-1.164849705,fish,cc
ICC4_A,0.862268514,-0.417915815,0.932830135,2.115822387,1.861265875,0.711834316,0.151872657,-0.34219603,-0.204031704,-1.146698643,fish,cc
ICC5_A,1.536265829,-1.51709974,-0.352253402,1.318960462,0.157213783,0.379139176,1.310364057,-0.311475787,0.469782607,-1.200371137,fish,cc
ICC6_A,1.206035648,1.445099795,-1.573315491,1.333201061,1.62890636,0.3605976,0.564778901,1.541513394,1.881862909,-1.726494495,fish,cc
ICC7_A,-0.212095181,-4.193418551,0.860368049,0.742990814,0.111390494,-0.706227298,-0.36472556,-1.617963765,0.879091826,0.018517686,fish,cc
ICHN1_A,1.572395916,0.492231495,2.682482347,-0.580772466,0.886292283,0.384074503,1.016890546,0.523449678,1.90898413,1.133962331,fish,chn
ICHN2_A,1.383576777,0.993756073,2.566575145,-0.343702117,-0.493232488,0.477657355,1.46178206,0.270433524,0.724504089,1.450070862,fish,chn
ICHN3_A,1.492986813,0.144234286,2.780674128,-0.636622337,-0.334732634,0.301293864,2.188391092,-0.923721761,2.6297483,1.218508825,fish,chn
ICHN4_A,0.482872874,0.422869226,1.543603781,0.878461061,0.969470865,0.056893491,1.212317735,-0.119926112,0.437027154,1.658548467,fish,chn
ICHN5_A,0.458194369,0.018168328,2.748877339,1.13151091,0.849569121,1.203807743,-0.225248001,-1.048188202,-0.621279678,-0.36355677,fish,chn
ICHN6_A,0.574086527,0.767351039,3.426916916,0.652900057,0.317826366,0.768029486,2.291320783,-0.69442916,0.643370955,2.59189841,fish,chn
ICHN7_A,0.618400288,-0.016960306,2.819113778,0.469839073,0.335344905,1.074064396,-0.131211418,-0.451426169,-0.787598309,-0.24888377,fish,chn
ICHN8_A,-0.893059045,-0.981853276,4.515376541,1.181705102,-0.17388742,-0.372883476,0.60904221,-2.029204079,0.991043882,0.975659168,fish,chn
CP1_A,1.517353082,-3.924709635,2.926879669,-0.984410001,4.162027401,-6.865259093,2.726479538,-0.004056762,-3.632225455,-1.410071753,crayfish,cp
CP10_A,-0.333112048,-2.311056934,1.831979358,-0.331289386,0.350332658,-0.996907898,-1.603891343,1.848571533,1.15415164,-0.610911067,crayfish,cp
CP2_A,-0.325439686,-4.579561206,4.110706081,0.394891179,3.502119934,-4.333980875,1.155429598,1.472192957,-3.194939835,-1.15863508,crayfish,cp
CP3_A,0.154205815,-5.088039788,3.295458217,0.698452013,3.723540857,-3.983684914,1.031225751,1.141688954,-3.3545463,-0.628864849,crayfish,cp
CP4_A,0.212185448,-4.752991564,2.99854303,-0.101748125,2.655005706,-5.016413057,1.608119474,3.298302543,-4.387937551,-1.125526994,crayfish,cp
CP5_A,-0.049545824,-4.039115914,1.148752055,-0.117461987,-0.306344066,-1.421674194,-1.36942554,1.507520347,1.184932774,-0.306263035,crayfish,cp
CP6_A,0.850516536,-4.22352407,1.072966722,-0.014228803,0.39715142,-1.332510542,-0.991600381,1.995318169,0.877469426,-0.096481302,crayfish,cp
CP7_A,1.211985046,-0.45983632,-0.012204074,-1.480555132,-0.021251193,-0.469873354,-1.23680276,2.038909737,1.889951965,-0.961903398,crayfish,cp
CP8_A,0.048248766,-3.667519052,1.326960836,-0.385577022,-0.128075032,-1.43666502,-1.5311295,2.509177682,1.275512148,-0.4947244,crayfish,cp
CP9_A,0.246224626,-4.363304609,3.110507927,0.696720779,3.213195155,-3.799621308,0.949858152,1.506002039,-2.526108344,-1.037412084,crayfish,cp
CV1_A,0.806145145,-0.562943461,1.74204061,-0.660845315,0.373970076,-0.478812989,-0.98325222,2.24528349,0.594145079,-1.170583908,crayfish,cv
CV2_A,1.23994495,-4.906302319,2.000700205,0.837757734,2.587992031,-3.137227914,0.702685192,1.38351262,-1.916963391,-0.618210325,crayfish,cv
CV3_A,-0.630393336,-0.518442023,2.78653008,-1.425404344,-0.546924729,-2.350661955,1.092612722,2.503157038,-0.516100392,-2.049006803,crayfish,cv
CV4_A,0.162034437,-2.125157497,2.1518072,-1.171870812,0.480105298,-2.83501544,0.504735181,2.579340618,-1.294992231,-1.618476624,crayfish,cv
FA.C._A,2.517253432,-4.794338728,0.168519919,0.170450127,0.480751452,0.617640068,-0.939504015,-0.019851093,3.687233075,-0.262468948,frog,fa
